id,word
637,photos
638,such
639,unbalanced
640,extended
641,crumbs
642,description
643,sounded
644,scooping
645,someone
646,handle
647,meant
648,strongly
649,dislike
650,deep
651,dry
652,sparce
653,alright
654,dissapointed
655,needs
656,fixed
657,horrible
658,bland
659,hooked
660,than
661,weeks
662,now
663,known
664,sooner
665,product
666,complaint
667,4
668,everytime
669,open
670,start
671,peices
672,ton
673,normal
674,until
675,highly
676,recommend
677,yall
678,same
679,taylored
680,boo
681,die
682,youve
683,saying
684,skim
685,those
686,consider
687,tweaking
688,less
689,foods
690,adore
691,decadent
692,creams
693,excellent
694,compliment
695,overpower
696,theory
697,mixing
698,use
699,certainly
700,ijustlove
701,must
702,addicted
703,between
704,noticed
705,stay
706,mad
707,long
708,haha
709,bjs
710,discontinue
711,end
712,world
713,wonderful
714,perfectbut
715,save
716,amounts
717,fantastic
718,sort
719,mistake
720,amount
721,mixed
722,nobody
723,saint
724,desert
725,note
726,cherry
727,garcia
728,ago
729,extremely
730,agreed
731,lover
732,things
733,flavored
734,three
735,tactic
736,outside
737,smash
738,hit
739,daughter
740,jerry
741,powerful
742,potential
743,left
744,positive
745,easy
746,stand
747,cookiebrownie
748,seems
749,something
750,stale
751,minority
752,convenience
753,near
754,types
755,high
756,hopes
757,hoping
758,sweeter
759,kraft
760,okaynot
761,traditional
762,tons
763,tiny
764,favourite
765,flavours
766,thick
767,bring
768,label
769,reads
770,expected
771,apple
772,misleading
773,death
774,sodium
775,poisoning
776,gross
777,heck
778,who
779,pass
780,test
781,fr
782,yalls
783,tongues
784,blind
785,mouth
786,shortly
787,discovering
788,karamel
789,sutra
790,needless
791,fell
792,yes
793,pocket
794,air
795,450pt
796,unhappy
797,keywords
798,seemed
799,missing
800,overpowering
801,floury
802,lived
803,punts
804,spoons
805,hope
806,manufacturing
807,disappointingly
808,tastelesswhy
809,intensewhy
810,swirled
811,meh
812,overwhelmingly
813,looked
814,forward
815,saltier
816,ocean
817,loves
818,typically
819,desserts
820,general
821,eager
822,nearly
823,knocked
824,overpowered
825,combined
826,reviewers
827,work
828,concept
829,distributed
830,isolated
831,pool
832,pack
833,yet
834,variety
835,cheap
836,knockoff
837,couple
838,except
839,drowned
840,favors
841,mean
842,180
843,mg
844,nasty
845,anybody
846,watch
847,intake
848,shouldnt
849,day
850,rave
851,confused
852,essence
853,sooo
854,overpoweringly
855,avoided
856,swirl
857,understand
858,anyone
859,sweat
860,bitter
861,own
862,paired
863,digger
864,run
865,gems
866,cry
867,pairing
868,succulent
869,topped
870,savoring
871,your
872,smile
873,joy
874,havent
875,urge
876,belly
877,husband
878,evening
879,felt
880,rr
881,headed
882,trusty
883,discovered
884,dollop
885,vanished
886,leaving
887,stuff
888,lack
889,shaken
890,tired
891,firs
892,formula
893,tweaked
894,nope
895,below
896,magnificent
897,particularly
898,soft
899,flavorful
900,scared
901,graveyard
902,new
903,chi
904,class
905,jipped
906,parents
907,2016
908,surpasses
909,hard
910,finding
911,overwhelms
912,afford
913,thee
914,hands
915,chucks
916,pure
917,table
918,sugar
919,salts
920,iti
921,changed
922,blondes
923,poured
924,shakers
925,worth
926,else
927,experience
928,already
929,told
930,discontinued
931,check
932,complements
933,wonderfully
934,truly
935,several
936,friends
937,dating
938,wedding
939,lovers
940,1010
941,goodness
942,devine
943,piece
944,watering
945,everyone
946,life
947,content
948,stalked
949,quarantine
950,sponsor
951,key
952,component
953,normally
954,isnt
955,matter
956,ingredients
957,isolation
958,overpowers
959,emphasis
960,reach
961,giving
962,blend
963,awful
964,spit
965,checked
966,date
967,carton
968,2019
969,eaten
970,spoiled
971,low
972,special
973,bigger
974,detract
975,stars
976,possibly
977,combo
978,dig
979,mess
980,thanks
981,awesome
982,managed
983,greyston
984,bakery
985,brought
986,hospital
987,brain
988,surgery
989,meals
990,meal
991,history
992,cores
993,average
994,rating
995,35
996,tasting
997,rid
998,goes
999,ingredient
1000,five
1001,dream
1002,true
1003,name
1004,putting
1005,6
1006,expectations
1007,justify
1008,spending
1009,chock
1010,face
1011,died
1012,searching
1013,exchange
1014,benjerrys
1015,europe
1016,finland
1017,states
1018,debuted
1019,family
1020,hoewever
1021,weve
1022,crunchy
1023,knew
1024,sadly
1025,stop
1026,recovery
1027,anorexia
1028,nervosa
1029,inhaled
1030,single
1031,provide
1032,0
1033,changing
1034,ermahgerd
1035,part
1036,anymore
1037,swear
1038,pandemic
1039,forgive
1040,problem
1041,waaay
1042,nontheless
1043,choc
1044,leave
1045,bummer
1046,price
1047,help
1048,mention
1049,addicting
1050,blond
1051,beeeeessst
1052,companion
1053,stocked
1054,war
1055,iv
1056,break
1057,survive
1058,third
1059,smaller
1060,vanillia
1061,containers
1062,pairs
1063,allergic
1064,coco
1065,beans
1066,tasty
1067,become
1068,hassle
1069,thankfully
1070,across
